id,name,unique_name,ipl_debut,specialization,date_of_birth,matches,nationality
3abe1ef6,A Ndlovu,A Ndlovu,,,,,
96fd40ae,Ashish Nehra,A Nehra,2008,Bowler,29 April 1979,88,Indian
2503e881,Andre Nel,A Nel,,N/A,15 July 1977,1,South African
650f9d3c,,Aniket Parikh,,,,,
dc36a6a5,AN Kervezee,AN Kervezee,,,,,
24d94623,Ankit Sharma,Ankit Sharma,2012,Bowling All-rounder,20 April 1991,22,Indian
f18ba07f,Ankit Soni,Ankit Soni,,N/A,N/A,7,Indian
1399b39c,Anmolpreet Singh,Anmolpreet Singh,2021,Batter,28 March 1998,9,Indian
acdc62f5,Anrich Nortje,A Nortje,2020,Bowler,16 November 1993,46,South African
e01aafc1,AN Petersen,AN Petersen,,,,,
552b228c,Anshuman Rath,Anshuman Rath,,,,,
e142c599,,Anuj Dal,,,,,
ea72c644,Anuk Fernando,Anuk Fernando,,,,,
69be866a,Anureet Singh,Anureet Singh,2009,Bowler,26 February 1982,23,Indian
eb2d5fe7,Anwar Ali,Anwar Ali,,,,,
24dd1b81,AO Morgan,AO Morgan,,,,,
ed90abe4,AP Devcich,AP Devcich,,,,,
f2665768,A Phillip,A Phillip,,,,,
f4cb4f53,Anustup Majumdar,AP Majumdar,,N/A,30 April 1984,4,Indian
855a210c,Aditya Tare,AP Tare,2010,Wicketkeeper Batter,07 November 1987,35,Indian
525c3f54,AR Adams,AR Adams,,,,,
1f7adc8a,Arafat Sunny,Arafat Sunny,,,,,
afe3355a,Ankit Bawne,AR Bawne,,N/A,17 December 1992,1,Indian
f994f4ca,AR Berenger,AR Berenger,,,,,
568e5a4a,AR Cusack,AR Cusack,,,,,
eadc8924,,A Reddy,,,,,
e4d7579d,Arfan Liaqat,Arfan Liaqat,,,,,
ad1730bc,Ariful Haque,Ariful Haque,,,,,
0d51e915,Ariful Islam,Ariful Islam,,,,,
7a32c1c1,,ARI Umeed,,,,,
a83208cd,Armaan Jaffer,Armaan Jaffer,,N/A,25 October 1998,0,Indian
e957b38f,,AR McBrine,,,,,
701a0e45,ARM Muir,ARM Muir,,,,,
4a745f65,AR Nurse,AR Nurse,,,,,
2e171977,Axar Patel,AR Patel,2014,All-rounder,20 January 1994,150,Indian
f6bb45fc,Arsal Sheikh,Arsal Sheikh,,,,,
244048f6,Arshdeep Singh,Arshdeep Singh,2019,Bowler,05 February 1999,65,Indian
198798b2,ARS Silva,ARS Silva,,,,,
f27f89e8,AR White,AR White,,,,,
f476d2a5,Asad Ali,Asad Ali,,,,,
50250426,,Asad Shafiq,,,,,
88679525,Asghar Stanikzai,Asghar Stanikzai,,,,,
a73321d3,A Shahzad,A Shahzad,,,,,
795df06c,AS Hansra,AS Hansra,,,,,
a3ead8da,A Sharma,A Sharma,,,,,
32497ecd,A Shrubsole,A Shrubsole,,,,,
0a4736eb,Asif Ali,Asif Ali,,,,,
280b8ce7,Asif Raza,Asif Raza,,,,,
5b040b81,Amit Singh,A Singh,2009,Bowler,21 June 1981,23,Indian
b0946605,Alzarri Joseph,AS Joseph,2019,Bowler,20 November 1996,22,West Indian
98dfe425,Asmavia Iqbal,Asmavia Iqbal,,,,,
db31895a,Ankit Rajpoot,AS Rajpoot,2013,Bowler,04 December 1993,29,Indian
e4cdf230,Anukul Roy,AS Roy,2019,Batting Allrounder,30 November 1998,11,Indian
42d9dd09,ASS Fletcher,ASS Fletcher,,,,,
e43aa7ed,ASS Nijjar,ASS Nijjar,,,,,
65d9b6b6,,A Sutherland,,,,,
bd77eb62,Andrew Symonds,A Symonds,,N/A,09 June 1975,39,Australian
69d03465,Alex Carey,AT Carey,,Wicketkeeper Batter,27 August 1991,3,Australian
70d205c9,Ambati Rayudu,AT Rayudu,2010,Wicketkeeper Batter,23 September 1985,204,Indian
3ae3f034,Asad Pathan,AUK Pathan,2011,Batter,17 June 1984,8,Indian
249d60c9,Adil Rashid,AU Rashid,2021,Bowler,17 February 1988,3,English
72e60730,A Vala,A Vala,,,,,
eef2536f,Avesh Khan,Avesh Khan,2017,Bowler,13 December 1996,63,Indian
b858be20,AV Lalcheta,AV Lalcheta,,,,,
5c88fab9,Awais Zia,Awais Zia,,,,,
fc63d916,AW Finch,AW Finch,,,,,
43501c0d,,AW Gale,,,,,
c661789d,,AW Mathieson,,,,,
2f899a44,,Ayasha Rahman,,,,,
e15f4fa4,Ayesha Zafar,Ayesha Zafar,,,,,
fbd4f01f,AY Patel,AY Patel,,,,,
14f96089,Adam Zampa,A Zampa,2016,Bowler,31 March 1992,20,Australian
5fcb6fb1,Azeem Rafiq,Azeem Rafiq,,,,,
211de69f,Azhar Ali,Azhar Ali,,,,,
9a158001,Azhar Mahmood,Azhar Mahmood,2012,All-rounder,28 February 1975,23,English
c9c0fe50,AZ Lees,AZ Lees,,,,,
8f6dd463,Azmatullah Omarzai,Azmatullah Omarzai,,,,,
8a75e999,Babar Azam,Babar Azam,,,,,
fbb657bb,Babar Hayat,Babar Hayat,,,,,
dc4686e6,Bhargav Bhatt,BA Bhatt,2011,Bowler,13 May 1990,17,Indian
cad40f5e,BA Carse,BA Carse,,,,,
0bec3a6c,BAC Howell,BAC Howell,,,,,
b26b1e3d,BA Godleman,BA Godleman,,,,,
7fca84b7,BA King,BA King,,,,,
4c0f3806,BA Raine,BA Raine,,,,,
871e9faf,Basil Thampi,Basil Thampi,2017,Bowler,11 September 1993,25,Indian
e087956b,Ben Stokes,BA Stokes,2017,All-rounder,04 June 1991,45,English
079d9bdc,BA Westdijk,BA Westdijk,,,,,
ea0cdc12,Ajantha Mendis,BAW Mendis,2009,Bowler,11 March 1985,10,Sri Lankan
0893265e,BB Bopp,BB Bopp,,,,,
41fc1ece,BB Chari,BB Chari,,,,,
564afdcf,B Bezuidenhout,B Bezuidenhout,,,,,
82342b13,B Bhandari,B Bhandari,,,,,
b8a55852,Brendon McCullum,BB McCullum,2008,Wicketkeeper Batter,27 September 1981,109,New Zealander
53f27a35,Biplap Samantray,BB Samantray,2012,All-rounder,14 December 1988,9,Indian
d8b2f218,Barinder Sran,BB Sran,,Bowler,10 December 1992,24,Indian
8af86756,BC Brown,BC Brown,,,,,
9a2fc964,BC Fortuin,BC Fortuin,,,,,
5451a2c1,Bharat Chipli,B Chipli,2008,Batter,27 January 1983,23,Indian
2e11c706,Ben Cutting,BCJ Cutting,2014,Bowler,30 January 1987,21,Australian
d5403021,BC Lara,BC Lara,,,,,
ac0edb42,B Cooper,B Cooper,,,,,
cac638ae,BD Birkhead,BD Birkhead,,,,,
0dbe27b8,BD Glover,BD Glover,,,,,
8159d5fc,BD Guest,BD Guest,,,,,
864eccce,B Dial,B Dial,,,,,
b56dc5f7,Beuran Hendricks,BE Hendricks,,Bowler,08 June 1990,7,South African
dabbd0ae,B Fernando,B Fernando,,,,,
fc4375ef,BFW de Leede,BFW de Leede,,,,,
34b37279,BGF Green,BGF Green,,,,,
dbeb6733,BG Randell,BG Randell,,,,,
f3be8d36,Bilal Asif,Bilal Asif,,,,,
dcdb87f2,Bilal Khan,Bilal Khan,,,,,
7662cf7a,Bilawal Bhatti,Bilawal Bhatti,,,,,
c18496e1,Bipul Sharma,Bipul Sharma,2010,All-rounder,28 September 1983,33,Indian
3b770527,,Bismah Maroof,,,,,
09a2da4e,B Jacobs,B Jacobs,,,,,
e1b9f3a9,Ben Dwarshuis,BJ Dwarshuis,,Bowler,23 June 1994,0,Australian
b0c772ee,Brad Haddin,BJ Haddin,2011,Wicketkeeper Batter,23 October 1977,1,Australian
b57f8a9a,Brad Hodge,BJ Hodge,2008,Batter,29 December 1974,66,Australian
3766056b,BJ McCarthy,BJ McCarthy,,,,,
27af6414,Ben Rohrer,BJ Rohrer,,N/A,26 March 1981,8,Australian
3dd30077,BJ Taylor,BJ Taylor,,,,,
928670cc,BJ Watling,BJ Watling,,,,,
5d1e7582,BKG Mendis,BKG Mendis,,,,,
2e81a32d,Bhuvneshwar Kumar,B Kumar,2011,Bowler,05 February 1990,176,Indian
b2a79f17,Ben Laughlin,B Laughlin,2013,Bowler,03 October 1982,9,Australian
9679838c,,BL D'Oliveira,,,,,
dd09ff8e,Brett Lee,B Lee,2008,Bowler,08 November 1976,38,Australian
52d1dbc8,Beth Mooney,BL Mooney,,N/A,14 January 1994,0,Australian
9868bc75,Jeevan Mendis,BMAJ Mendis,,All-rounder,15 January 1983,3,Sri Lankan
6c76e493,BM Ashkenazi,BM Ashkenazi,,,,,
dadb9703,,B Mavuta,,,,,
5f26f677,BM Duckett,BM Duckett,,,,,
39e2c0fd,BMJ Allison,BMJ Allison,,,,,
